label,cityLabel
劉承,Liu Cheng
伯恩哈德·沃格爾 (政治人物),Bernhard Vogel
方濟各,Francis
詹姆斯·诺克斯·波尔克,James K. Polk
查士丁尼一世,Justinian I
劉辯,Prince of Hongnong
安闲天皇,Ankan
"称徳,",Kōken
德川家定,Tokugawa Iesada
德川家茂,Tokugawa Iemochi
武烈天皇,Buretsu
六條天皇,Rokujō
阿历克斯·奥维琴根,Alexander Ovechkin
同治帝,Tongzhi Emperor
劉墉,Liu Yong
慈安太后,Empress Dowager Ci'an
劉閎,Liu Hong
綿倫,Q7731607
德川德松,Tokugawa Tokumatsu
伊丽莎白一世,Elizabeth I of England
保罗,Paul
隋炀帝,Emperor Yang of Sui
亞歷山大·卡爾 (安哈特-貝恩堡),"Alexander Karl, Duke of Anhalt-Bernburg"
阿方索一世,Alfonso the Battler
曹喈,Cao Jie
明正天皇,Meishō
溥仪,Puyi
清寧天皇,Seinei
路易·德布罗意,Louis de Broglie
伊凡六世,Ivan VI of Russia
元正天皇,Genshō
後櫻町天皇,Go-Sakuramachi
刘如意,Liu Ruyi
德川鶴姬,Tsuru-hime
劉乘,Liu Cheng
劉長,Liu Zhang
曹儼,Cao Yan
曹鑒,Cao Jian
刘福,Liu Fu
漢昭帝,Emperor Zhao of Han
德川家綱,Tokugawa Ietsuna
四条天皇,Emperor Shijō
鐵臂威廉,William Iron Arm
安娜·瓦西里耶芙娜,Anna of Moscow
